Company,Symbol,Weight
Ecolab Inc,ECL,0.122013
Monster Beverage Corp,MNST,0.120991
Dominion Energy Inc,D,0.120787
American Electric Power,AEP,0.118236
Te Connectivity Ltd,TEL,0.117291
Phillips 66,PSX,0.11708
Trane Technologies Plc,TT,0.116379
Transdigm Group Inc,TDG,0.116174
Biogen Inc,BIIB,0.115496
Cintas Corp,CTAS,0.114064
Capital One Financial Corp,COF,0.113614
Occidental Petroleum Corp,OXY,0.113256
Truist Financial Corp,TFC,0.113213
Moderna Inc,MRNA,0.1117
Realty Income Corp,O,0.11086
American International Group,AIG,0.110785
Archer Daniels Midland Co,ADM,0.110756
Travelers Cos Inc,TRV,0.110617
Paccar Inc,PCAR,0.110433
Exelon Corp,EXC,0.110372
Corteva Inc,CTVA,0.110097
Valero Energy Corp,VLO,0.109491
Idexx Laboratories Inc,IDXX,0.108924
Carrier Global Corp,CARR,0.108688
Iqvia Holdings Inc,IQV,0.108684
Constellation Brands Inc A,STZ,0.107658
Welltower Inc,WELL,0.107472
On Semiconductor,ON,0.105016
Arista Networks Inc,ANET,0.104242
Yum Brands Inc,YUM,0.104109
Hershey Co,HSY,0.10357
Msci Inc,MSCI,0.10315
Nucor Corp,NUE,0.103132
Copart Inc,CPRT,0.102377
Aflac Inc,AFL,0.101754
Hilton Worldwide Holdings In,HLT,0.101431
L3harris Technologies Inc,LHX,0.101273
Williams Cos Inc,WMB,0.101271
Dr Horton Inc,DHI,0.100784
Ross Stores Inc,ROST,0.100694
Sysco Corp,SYY,0.100157
Hess Corp,HES,0.100122
Dow Inc,DOW,0.099451
Otis Worldwide Corp,OTIS,0.09913
Centene Corp,CNC,0.098975
Simon Property Group Inc,SPG,0.098701
Dollar General Corp,DG,0.098674
Rockwell Automation Inc,ROK,0.098298
Paychex Inc,PAYX,0.097992
Ametek Inc,AME,0.09726
Metlife Inc,MET,0.095729
Charter Communications Inc A,CHTR,0.095297
Agilent Technologies Inc,A,0.095199
Costar Group Inc,CSGP,0.09444
Xcel Energy Inc,XEL,0.093941
Newmont Corp,NEM,0.093266
Ameriprise Financial Inc,AMP,0.092427
Ppg Industries Inc,PPG,0.090555
Cummins Inc,CMI,0.0898
Electronic Arts Inc,EA,0.08976
Ww Grainger Inc,GWW,0.089747
Cognizant Tech Solutions A,CTSH,0.08968
Kinder Morgan Inc,KMI,0.08959
Verisk Analytics Inc,VRSK,0.089304
Bank of New York Mellon Corp,BK,0.088477
Fastenal Co,FAST,0.088317
Fidelity National Info Serv,FIS,0.088266
Consolidated Edison Inc,ED,0.08704
Illumina Inc,ILMN,0.086541
Resmed Inc,RMD,0.086484
Vici Properties Inc,VICI,0.086249
Dupont De Nemours Inc,DD,0.085805
Devon Energy Corp,DVN,0.085725
Prudential Financial Inc,PRU,0.085183
Public Service Enterprise Gp,PEG,0.084244
Lennar Corp A,LEN,0.084072
Digital Realty Trust Inc,DLR,0.08342
Zimmer Biomet Holdings Inc,ZBH,0.082052
Constellation Energy,CEG,0.081865
Amerisourcebergen Corp,ABC,0.081333
Kroger Co,KR,0.081279
Republic Services Inc,RSG,0.081275
Baker Hughes Co,BKR,0.081231
Discover Financial Services,DFS,0.080079
Keysight Technologies In,KEYS,0.079354
Kraft Heinz Co,KHC,0.079115
Old Dominion Freight Line,ODFL,0.079057
Ansys Inc,ANSS,0.078683
Allstate Corp,ALL,0.078387
Ge Healthcare Technology,GEHC,0.077969
American Water Works Co Inc,AWK,0.077921
Mettler Toledo International,MTD,0.077812
Halliburton Co,HAL,0.077804
Dollar Tree Inc,DLTR,0.077383
Wec Energy Group Inc,WEC,0.077288
United Rentals Inc,URI,0.076753
Equifax Inc,EFX,0.075903
Gartner Inc,IT,0.075822
Vulcan Materials Co,VMC,0.075494
Delta Air Lines Inc,DAL,0.074263
Albemarle Corp,ALB,0.074044
P G & E Corp,PCG,0.073932
West Pharmaceutical Services,WST,0.073885
Aptiv Plc,APTV,0.073869
Keurig Dr Pepper Inc,KDP,0.073574
Xylem Inc,XYL,0.073531
Warner Bros Discovery Inc,WBD,0.07344
Martin Marietta Materials,MLM,0.072814
Global Payments Inc,GPN,0.072468
Avalonbay Communities Inc,AVB,0.072438
Corning Inc,GLW,0.072427
Quanta Services Inc,PWR,0.072372
Oneok Inc,OKE,0.072168
Edison International,EIX,0.071482
Arch Capital Group Ltd,ACGL,0.071272
Hp Inc,HPQ,0.071066
Ingersoll Rand Inc,IR,0.070782
Fortive Corp,FTV,0.068831
T Rowe Price Group Inc,TROW,0.068781
Willis Towers Watson Plc,WTW,0.067705
Eversource Energy,ES,0.067073
State Street Corp,STT,0.066748
Ebay Inc,EBAY,0.066223
Cbre Group Inc A,CBRE,0.066156
Sba Communications Corp,SBAC,0.066106
Cdw Corp/de,CDW,0.065445
Align Technology Inc,ALGN,0.065414
Tractor Supply Company,TSCO,0.065329
Cardinal Health Inc,CAH,0.064067
Enphase Energy Inc,ENPH,0.063735
Dte Energy Company,DTE,0.063677
Diamondback Energy Inc,FANG,0.063603
Mccormick & Co Non Vtg Shrs,MKC,0.063398
Walgreens Boots Alliance Inc,WBA,0.063279
Weyerhaeuser Co,WY,0.062955
Church & Dwight Co Inc,CHD,0.06278
Ulta Beauty Inc,ULTA,0.062283
Monolithic Power Systems Inc,MPWR,0.062267
Baxter International Inc,BAX,0.061834
Lyondellbasell Indu Cl A,LYB,0.061738
Genuine Parts Co,GPC,0.061414
Equity Residential,EQR,0.06132
Hartford Financial Svcs Grp,HIG,0.061106
Take Two Interactive Softwre,TTWO,0.060093
Hewlett Packard Enterprise,HPE,0.059709
Ameren Corporation,AEE,0.058325
Firstenergy Corp,FE,0.057859
Steris Plc,STE,0.057678
Entergy Corp,ETR,0.057442
Royal Caribbean Cruises Ltd,RCL,0.057387
M & T Bank Corp,MTB,0.056394
Laboratory Crp of Amer Hldgs,LH,0.055831
Hologic Inc,HOLX,0.055743
Southwest Airlines Co,LUV,0.055714
Verisign Inc,VRSN,0.055343
Darden Restaurants Inc,DRI,0.055122
Intl Flavors & Fragrances,IFF,0.054968
Dover Corp,DOV,0.054771
Insulet Corp,PODD,0.054768
Fair Isaac Corp,FICO,0.054555
Invitation Homes Inc,INVH,0.054077
Ppl Corp,PPL,0.053263
Extra Space Storage Inc,EXR,0.05251
Clorox Company,CLX,0.052361
Las Vegas Sands Corp,LVS,0.052302
Omnicom Group,OMC,0.05198
Raymond James Financial Inc,RJF,0.051961
Teledyne Technologies Inc,TDY,0.051069
Broadridge Financial Solutio,BR,0.05085
Coterra Energy Inc,CTRA,0.050529
Wabtec Corp,WAB,0.050257
First Solar Inc,FSLR,0.05022
Centerpoint Energy Inc,CNP,0.049909
Fifth Third Bancorp,FITB,0.049862
Cooper Cos Inc,COO,0.049649
Ventas Inc,VTR,0.049529
Nvr Inc,NVR,0.049175
Alexandria Real Estate Equit,ARE,0.048971
Fleetcor Technologies Inc,FLT,0.04868
Mid America Apartment Comm,MAA,0.048367
Expeditors Intl Wash Inc,EXPD,0.048289
Cms Energy Corp,CMS,0.047743
Ball Corp,BALL,0.04774
Nasdaq Inc,NDAQ,0.047466
United Airlines Holdings Inc,UAL,0.046889
Howmet Aerospace Inc,HWM,0.046652
Skyworks Solutions Inc,SWKS,0.046648
Teradyne Inc,TER,0.04623
Pultegroup Inc,PHM,0.04604
Kellogg Co,K,0.045677
Regions Financial Corp,RF,0.045629
Steel Dynamics Inc,STLD,0.045618
Atmos Energy Corp,ATO,0.045238
Principal Financial Group,PFG,0.045212
Tyler Technologies Inc,TYL,0.044391
Conagra Brands Inc,CAG,0.044188
Lamb Weston Holdings Inc,LW,0.044143
Garmin Ltd,GRMN,0.044112
Jm Smucker Co,SJM,0.04406
Molina Healthcare Inc,MOH,0.043985
Factset Research Systems Inc,FDS,0.043973
Iron Mountain Inc,IRM,0.043947
Targa Resources Corp,TRGP,0.043467
Carnival Corp,CCL,0.04344
Netapp Inc,NTAP,0.043073
Waters Corp,WAT,0.042734
Cincinnati Financial Corp,CINF,0.042703
Paycom Software Inc,PAYC,0.042663
Brown & Brown Inc,BRO,0.042326
Best Buy Co Inc,BBY,0.042303
Idex Corp,IEX,0.04189
Quest Diagnostics Inc,DGX,0.041767
Huntington Bancshares Inc,HBAN,0.041732
Interpublic Group of Cos Inc,IPG,0.041723
Northern Trust Corp,NTRS,0.041711
Expedia Group Inc,EXPE,0.041617
Amcor Plc,AMCR,0.041567
Everest Re Group Ltd,RE,0.041288
Ptc Inc,PTC,0.041124
Essex Property Trust Inc,ESS,0.040866
Jacobs Solutions Inc,J,0.040397
Revvity Inc,RVTY,0.039974
Snap on Inc,SNA,0.039588
Marathon Oil Corp,MRO,0.039438
Hunt (Jb) Transprt Svcs Inc,JBHT,0.039292
Axon Enterprise Inc,AXON,0.039231
Cboe Global Markets Inc,CBOE,0.039223
Akamai Technologies Inc,AKAM,0.039043
Zebra Technologies Corp Cl A,ZBRA,0.03898
Synchrony Financial,SYF,0.038968
Eqt Corp,EQT,0.038912
Solaredge Technologies Inc,SEDG,0.038911
Tyson Foods Inc Cl A,TSN,0.038793
Cf Industries Holdings Inc,CF,0.038314
Bunge Ltd,BG,0.038275
Aes Corp,AES,0.03826
Textron Inc,TXT,0.03789
Pool Corp,POOL,0.037555
Lkq Corp,LKQ,0.037448
Avery Dennison Corp,AVY,0.037417
Stanley Black & Decker Inc,SWK,0.037361
Evergy Inc,EVRG,0.036828
Citizens Financial Group,CFG,0.036291
Alliant Energy Corp,LNT,0.036249
Fmc Corp,FMC,0.035974
Udr Inc,UDR,0.035735
Mgm Resorts International,MGM,0.035489
Trimble Inc,TRMB,0.034857
Nordson Corp,NDSN,0.034457
Carmax Inc,KMX,0.03439
Live Nation Entertainment In,LYV,0.034346
Masco Corp,MAS,0.034266
Epam Systems Inc,EPAM,0.034106
Western Digital Corp,WDC,0.034055
Molson Coors Beverage Co B,TAP,0.03393
Viatris Inc,VTRS,0.033686
Packaging Corp of America,PKG,0.033619
Camden Property Trust,CPT,0.033502
Bio Techne Corp,TECH,0.033202
Seagate Technology Holdings,STX,0.033116
Etsy Inc,ETSY,0.032824
Jack Henry & Associates Inc,JKHY,0.032473
Host Hotels & Resorts Inc,HST,0.032378
Teleflex Inc,TFX,0.032352
Wr Berkley Corp,WRB,0.032341
Match Group Inc,MTCH,0.032328
Mosaic Co,MOS,0.032215
Hormel Foods Corp,HRL,0.032016
Kimco Realty Corp,KIM,0.031985
Brown Forman Corp Class B,BF-B,0.031822
Domino S Pizza Inc,DPZ,0.031666
Leidos Holdings Inc,LDOS,0.031521
Incyte Corp,INCY,0.031209
International Paper Co,IP,0.030914
Loews Corp,L,0.030729
Wynn Resorts Ltd,WYNN,0.030221
Healthpeak Properties Inc,PEAK,0.030082
Borgwarner Inc,BWA,0.03
Nisource Inc,NI,0.029865
C.H. Robinson Worldwide Inc,CHRW,0.029681
Apa Corp,APA,0.029665
Celanese Corp,CE,0.029424
Charles River Laboratories,CRL,0.02906
Gen Digital Inc,GEN,0.029025
American Airlines Group Inc,AAL,0.02895
Henry Schein Inc,HSIC,0.028735
Tapestry Inc,TPR,0.028492
Allegion Plc,ALLE,0.028487
Caesars Entertainment Inc,CZR,0.028362
Marketaxess Holdings Inc,MKTX,0.028008
Qorvo Inc,QRVO,0.028002
