Date,Open,High,Low,Close,Adj Close,Volume
25/06/2018,105.660004,105.699997,103.959999,104.790001,90.205551,16907600
26/06/2018,104.709999,105.209999,103.110001,104.860001,90.265762,17086800
27/06/2018,104.68,105.919998,103.230003,103.239998,88.871262,16276800
28/06/2018,103.68,105.459999,103.510002,104.93,90.32605,14491300
29/06/2018,106.68,106.900002,104.150002,104.199997,89.697655,18972400
02/07/2018,103.720001,105.089996,103.379997,105.080002,90.455162,11130000
03/07/2018,105.410004,105.779999,103.519997,103.610001,89.189766,8311700
05/07/2018,104.129997,104.379997,103.529999,103.720001,89.769646,10723400
06/07/2018,103.120003,104.5,102.199997,104.059998,90.063919,12173700
09/07/2018,104.709999,107.459999,104.709999,107.279999,92.85083,13900800
10/07/2018,108.019997,108.400002,106.529999,106.620003,92.279602,14575900
11/07/2018,106.309998,107.059998,106.209999,106.389999,92.080521,10186500
12/07/2018,107.419998,107.559998,105.970001,106.849998,92.478653,12456800
13/07/2018,107.300003,107.800003,105.139999,106.360001,92.054581,21289100
16/07/2018,107.050003,110.769997,106.980003,110.580002,95.706978,24662600
17/07/2018,110.690002,110.93,109.75,110.5,95.637741,14821900
18/07/2018,110.419998,112.120003,110.199997,111.529999,96.529198,14244900
19/07/2018,111.059998,111.089996,109.730003,109.889999,95.109772,16775300
20/07/2018,110,111.739998,109.779999,111.279999,96.312828,13578100
23/07/2018,111.059998,114.239998,110.93,113.349998,98.104408,18140000
24/07/2018,113.550003,114.779999,113.419998,114.150002,98.796814,14000400
25/07/2018,113.879997,115.519997,113.379997,115.18,99.688271,13329100
26/07/2018,115.419998,115.589996,114.580002,114.849998,99.402664,11897800
27/07/2018,115.18,116.300003,114.809998,116.029999,100.42395,12802700
30/07/2018,116.279999,117.610001,116.059998,116.730003,101.029816,13411600
31/07/2018,117.080002,117.080002,114.82,114.949997,99.489212,15843800
01/08/2018,115.75,116.690002,115.279999,115.660004,100.103737,13531600
02/08/2018,114.57,116.25,114.330002,116.150002,100.527817,11058100
03/08/2018,116,117.129997,115.940002,117.089996,101.341393,11016100
06/08/2018,116.790001,117.529999,116.18,117.120003,101.367355,9857400
07/08/2018,117.739998,118.290001,117.330002,117.550003,101.739525,10562100
08/08/2018,117.330002,118.269997,117.279999,117.790001,101.947227,8997100
09/08/2018,117.510002,117.720001,116.699997,116.879997,101.159622,9694200
10/08/2018,115.5,115.949997,114.68,115.730003,100.164291,12630600
13/08/2018,115.559998,115.879997,113.82,113.889999,98.571793,10336300
14/08/2018,114.269997,115.040001,113.650002,114.650002,99.229561,10597600
15/08/2018,113.82,114.330002,112.970001,113.699997,98.407341,10152100
16/08/2018,114.349998,115.309998,114.300003,114.769997,99.333412,10118600
17/08/2018,114.639999,115.07,114.300003,114.769997,99.333412,8505100
20/08/2018,114.589996,115.050003,114.110001,114.620003,99.20359,8618700
21/08/2018,115.370003,116.389999,114.879997,115.32,99.809456,10976700
22/08/2018,115.309998,115.410004,114.779999,114.970001,99.506531,8314700
23/08/2018,114.959999,115.150002,114.43,114.730003,99.298813,9265400
24/08/2018,114.980003,115.220001,114.449997,114.68,99.255524,8845700
27/08/2018,115.220001,117.279999,115.169998,116.709999,101.012489,13768000
28/08/2018,117,117.029999,115.970001,116.139999,100.519165,8302600
29/08/2018,116.349998,116.370003,115.360001,115.760002,100.190269,7221700
30/08/2018,115.589996,116.040001,114.980003,115.190002,99.696938,8991800
31/08/2018,114.830002,114.839996,113.82,114.580002,99.168976,13065700
04/09/2018,114.339996,115.239998,113.629997,115.150002,99.6623,10174200
05/09/2018,115,115.699997,114.25,114.589996,99.177635,11462400
06/09/2018,114.5,114.699997,113.5,114.099998,98.753525,9877600
07/09/2018,114.5,114.769997,113.629997,114.32,98.943947,10955600
10/09/2018,114.849998,114.970001,113.660004,113.709999,98.415993,8276900
11/09/2018,113.540001,114.580002,113.18,114.43,99.039146,9333800
12/09/2018,114.25,114.879997,112.849998,113.080002,97.87072,10800800
13/09/2018,113.370003,114.129997,112.669998,113.519997,98.251549,12470800
14/09/2018,113.809998,114.489998,113.230003,113.5,98.234238,10337900
17/09/2018,113.790001,114.43,113.300003,113.839996,98.528511,9561300
18/09/2018,114.330002,114.660004,113.559998,114.300003,98.926643,7944200
19/09/2018,114.440002,118.059998,114.440002,117.620003,101.800095,16052800
20/09/2018,118.5,119.239998,118.080002,118.629997,102.674232,15590000
21/09/2018,119.129997,119.230003,117.739998,117.849998,101.999168,24788200
24/09/2018,117.760002,118.459999,116.43,116.720001,101.021149,12492500
