Bank Name,Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions)
Columbia Savings Bank,23-May-14,$36.50 ,$29.50 
AztecAmerica Bank,16-May-14,$66.30 ,$65.00 
Allendale County Bank,25-Apr-14,$54.50 ,$51.00 
Vantage Point Bank,28-Feb-14,$63.50 ,$62.50 
Millennium Bank,28-Feb-14,$130.30 ,$121.70 
Syringa Bank,31-Jan-14,$153.40 ,$145.10 
The Bank of Union,24-Jan-14,$331.40 ,$328.80 
DuPage National Bank,17-Jan-14,$61.70 ,$59.60 
Texas Community Bank,13-Dec-13,$160.10 ,$142.60 
Bank of Jackson County,30-Oct-13,$25.50 ,$25.00 
First National Bank,13-Sep-13,"$3,100.00 ","$2,300.00 "
The Community's Bank,13-Sep-13,$26.30 ,$25.70 
Sunrise Bank of Arizona,23-Aug-13,$202.20 ,$196.90 
Community South Bank,23-Aug-13,$386.90 ,$377.70 
Bank of Wausau,09-Aug-13,$43.60 ,$40.70 
First Community Bank of Southwest Florida,02-Aug-13,$265.70 ,$254.20 
Mountain National Bank,07-Jun-13,$437.30 ,$373.40 
